Id,Name,ParentProductId,ParentProduct.Name,ChildProductId,ChildProduct.Name,ChildProductClassificationId,ChildProductClassification.Name,ProductRelationshipTypeId,ProductRelationshipType.Name,Sequence
0dSKY000000IXAj2AO,PRC-000000165,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCfYAM,Housing Arrangement - Left Entry,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,95
0dSKY000000IXAk2AO,PRC-000000118,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCFYA2,"Filters-Eng Oil,Full Flow/Bypass",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,69
0dSKY000000IXAl2AO,PRC-000000167,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCgYAM,Housing Arrangement - Right Entry,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,96
0dSKY000000IXAm2AO,PRC-000000119,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCGYA2,Oil Sampling Valve,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,70
0dSKY000000IXAn2AO,PRC-000000169,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTChYAM,Housing Arrangement - Left & Right Entry,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,97
0dSKY000000IXAo2AO,PRC-000000120,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCHYA2,Oil Pan-High Capacity,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,71
0dSKY000000IXAp2AO,PRC-000000171,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCiYAM,"Terminal Hsg-Alternator Mounted,BotEntr,LV,NEMA 2-HoleConn",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,98
0dSKY000000IXAq2AO,PRC-000000122,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCIYA2,"Fuel Filters-Engine, Standard",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,73
0dSKY000000IXAr2AO,PRC-000000173,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCjYAM,"Terminal Hsg-Alternator Mounted,TopEntr,LV,NEMA 2-HoleConn",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,99
0dSKY000000IXAs2AO,PRC-000000123,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCJYA2,"Fuel Filters-Engine, Duplex",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,74
0dSKY000000IXAt2AO,PRC-000000175,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCkYAM,"Terminal Housing-Bottom Entrance,Medium/High Volts",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,100
0dSKY000000IXAu2AO,PRC-000000125,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCKYA2,"Coolant Heater-208/240/480V, 40F Minimum Ambient Temp",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,75
0dSKY000000IXAv2AO,PRC-000000124,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTClYAM,"Terminal Housing-Top Entrance,Medium/High Volts",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,101
0dSKY000000IXAw2AO,PRC-000000127,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCLYA2,"Coolant Heater-208/240/480V, Below 40F Ambient Temp",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,76
0dSKY000000IXAx2AO,PRC-000000126,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCmYAM,"Entrance Box-Low Voltage,Left",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,102
0dSKY000000IXAy2AO,PRC-000000129,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCMYA2,None Supplied (Remote Cooling),,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,77
0dSKY000000IXAz2AO,PRC-000000128,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCnYAM,"Terminal Box-Low Voltage,Left",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,103
0dSKY000000IXB02AO,PRC-000000131,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCNYA2,Engine Cooling-High Ambient Air Temperature,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,78
0dSKY000000IXB12AO,PRC-000000130,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCoYAM,"CB-600A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,104
0dSKY000000IXB22AO,PRC-000000133,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCOYA2,Engine Cooling-Enhanced High Ambient Air Temperature,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,79
0dSKY000000IXB32AO,PRC-000000132,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCpYAM,"CB-800A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,105
0dSKY000000IXB42AO,PRC-000000135,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCPYA2,"Eng Cooling-High Ambient Air Temp, Ship Loose",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,80
0dSKY000000IXB52AO,PRC-000000134,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCqYAM,"CB-1200A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,106
0dSKY000000IXB62AO,PRC-000000137,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCQYA2,(Remote Cooling) Flanged Connectors ASA,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,81
0dSKY000000IXB72AO,PRC-000000136,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCrYAM,"CB-1600A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,107
0dSKY000000IXB82AO,PRC-000000139,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCRYA2,Shutdown-Low Coolant Level,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,82
0dSKY000000IXB92AO,PRC-000000138,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCsYAM,"CB-2000A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,108
0dSKY000000IXBA2A4,PRC-000000141,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCSYA2,Warning-Low Coolant Level,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,83
0dSKY000000IXBB2A4,PRC-000000140,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCtYAM,"CB-2500A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,109
0dSKY000000IXBC2A4,PRC-000000143,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCTYA2,"Temp Sens-Stator, 2 RTD/Ph",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,84
0dSKY000000IXBD2A4,PRC-000000142,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCuYAM,"CB-3000A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,110
0dSKY000000IXBE2A4,PRC-000000144,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCvYAM,"Top Entry, Left",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,111
0dSKY000000IXBF2A4,PRC-000000146,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCwYAM,"Bottom Entry, Left",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,112
0dSKY000000IXBG2A4,PRC-000000148,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCxYAM,"Bottom Entry Chute, Left",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,113
0dSKY000000IXBH2A4,PRC-000000150,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCyYAM,Entrance Box-Right,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,114
0dSKY000000IXBI2A4,PRC-000000152,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCzYAM,"Entrance Box-Low Voltage,Right",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,115
0dSKY000000IXBJ2A4,PRC-000000154,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTD0YAM,"Terminal Box-Low Voltage,Right",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,116
0dSKY000000IXBK2A4,PRC-000000156,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTD1YAM,"CB-600A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,117
0dSKY000000IXBL2A4,PRC-000000158,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTD2YAM,"CB-800A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,118
