$$Period.FullyQualifiedLabel$AdvAcctForecastSetPartner.Name$Product.StockKeepingUnit$Category__r.Name,Account_Manager_Forecasted_Quantity__c,Account_Manager_Forecasted_Revenue__c,Account.Name,AdvAcctForecastSetPartner.$$Name$AdvAccountForecastSet.DeveloperName$Account.Name,AdvAcctForecastSetUse.Name,Category__r.Name,LastYearOrderQuantity,LastYearOrderRevenue,Name,OpportunityQuantity,OpportunityRevenue,OrderQuantity,OrderRevenue,Period.Id,PeriodStartDate,Product.Name,SalesAgreementQuantity,SalesAgreementRevenue,Status
FQ1 FY 2025;Acme Forecast;NaOH-50KG;Base Chemicals,791702,5314,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,589505,2753,Sodium Hydroxide (NaOH) - 50KG BagFQ1 FY 2025,349776,2915,800072,9230,026Ws000002NAA4IAO,,Sodium Hydroxide (NaOH) - 50KG Bag,95151,1382,Active
FQ2 FY 2025;Acme Forecast;NaOH-50KG;Base Chemicals,248617,4972,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,461544,3531,Sodium Hydroxide (NaOH) - 50KG BagFQ2 FY 2025,599559,4527,78304,1497,026Ws000002NAA5IAO,,Sodium Hydroxide (NaOH) - 50KG Bag,990335,7155,Active
FQ3 FY 2025;Acme Forecast;NaOH-50KG;Base Chemicals,183954,7974,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,273733,4232,Sodium Hydroxide (NaOH) - 50KG BagFQ3 FY 2025,65044,3004,257071,1900,026Ws000002NAA6IAO,,Sodium Hydroxide (NaOH) - 50KG Bag,355816,6144,Active
FQ4 FY 2025;Acme Forecast;NaOH-50KG;Base Chemicals,629074,1713,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,484716,8181,Sodium Hydroxide (NaOH) - 50KG BagFQ4 FY 2025,969499,5260,436789,9014,026Ws000002NAA7IAO,,Sodium Hydroxide (NaOH) - 50KG Bag,329995,4216,Active
FQ1 FY 2026;Acme Forecast;NaOH-50KG;Base Chemicals,184622,5863,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,237740,4594,Sodium Hydroxide (NaOH) - 50KG BagFQ1 FY 2026,941235,1200,767675,2354,026Ws000002NA8yIAG,,Sodium Hydroxide (NaOH) - 50KG Bag,770363,8216,Active
FQ2 FY 2026;Acme Forecast;NaOH-50KG;Base Chemicals,573935,6636,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,33583,1106,Sodium Hydroxide (NaOH) - 50KG BagFQ2 FY 2026,110442,7723,40418,5787,026Ws000002NA8zIAG,,Sodium Hydroxide (NaOH) - 50KG Bag,541203,1302,Active
FQ3 FY 2026;Acme Forecast;NaOH-50KG;Base Chemicals,148196,6514,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,297088,9382,Sodium Hydroxide (NaOH) - 50KG BagFQ3 FY 2026,271296,3150,293625,2605,026Ws000002NA90IAG,,Sodium Hydroxide (NaOH) - 50KG Bag,551755,1913,Active
FQ4 FY 2026;Acme Forecast;NaOH-50KG;Base Chemicals,62747,6377,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,971842,3172,Sodium Hydroxide (NaOH) - 50KG BagFQ4 FY 2026,343117,3151,486221,8142,026Ws000002NA91IAG,,Sodium Hydroxide (NaOH) - 50KG Bag,307181,9449,Active
FQ1 FY 2025;Acme Forecast;DF-4000-200L;Specialty Chemicals,620868,3653,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,755136,4257,Defoamer (DF-4000) - 200L DrumFQ1 FY 2025,886593,3192,680615,7731,026Ws000002NAA4IAO,,Defoamer (DF-4000) - 200L Drum,55446,6713,Active
FQ2 FY 2025;Acme Forecast;DF-4000-200L;Specialty Chemicals,248499,1961,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,636489,5725,Defoamer (DF-4000) - 200L DrumFQ2 FY 2025,506635,9731,414990,8774,026Ws000002NAA5IAO,,Defoamer (DF-4000) - 200L Drum,335629,4296,Active
FQ3 FY 2025;Acme Forecast;DF-4000-200L;Specialty Chemicals,996495,9945,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,265448,3915,Defoamer (DF-4000) - 200L DrumFQ3 FY 2025,239269,4825,258548,5791,026Ws000002NAA6IAO,,Defoamer (DF-4000) - 200L Drum,911413,3731,Active
FQ4 FY 2025;Acme Forecast;DF-4000-200L;Specialty Chemicals,965657,9518,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,516574,3256,Defoamer (DF-4000) - 200L DrumFQ4 FY 2025,863270,4511,963606,4370,026Ws000002NAA7IAO,,Defoamer (DF-4000) - 200L Drum,248990,6058,Active
FQ1 FY 2026;Acme Forecast;DF-4000-200L;Specialty Chemicals,341333,1596,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,75856,8433,Defoamer (DF-4000) - 200L DrumFQ1 FY 2026,163016,9172,641668,9275,026Ws000002NA8yIAG,,Defoamer (DF-4000) - 200L Drum,49935,3674,Active
FQ2 FY 2026;Acme Forecast;DF-4000-200L;Specialty Chemicals,515665,4775,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,637230,6589,Defoamer (DF-4000) - 200L DrumFQ2 FY 2026,966347,2097,549373,6137,026Ws000002NA8zIAG,,Defoamer (DF-4000) - 200L Drum,374351,3549,Active
FQ3 FY 2026;Acme Forecast;DF-4000-200L;Specialty Chemicals,472430,2118,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,553333,1635,Defoamer (DF-4000) - 200L DrumFQ3 FY 2026,890855,1250,394265,7526,026Ws000002NA90IAG,,Defoamer (DF-4000) - 200L Drum,340066,2782,Active
FQ4 FY 2026;Acme Forecast;DF-4000-200L;Specialty Chemicals,633123,1044,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,62281,3767,Defoamer (DF-4000) - 200L DrumFQ4 FY 2026,903363,1970,603551,8297,026Ws000002NA91IAG,,Defoamer (DF-4000) - 200L Drum,583070,8592,Active
FQ1 FY 2025;Acme Forecast;UV-2000-25KG;Specialty Chemicals,908609,2786,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,879832,7311,UV Stabilizer (UV-2000) - 25KG BagFQ1 FY 2025,979341,5980,987001,7238,026Ws000002NAA4IAO,,UV Stabilizer (UV-2000) - 25KG Bag,212162,1551,Active
FQ2 FY 2025;Acme Forecast;UV-2000-25KG;Specialty Chemicals,345736,7634,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,638707,7906,UV Stabilizer (UV-2000) - 25KG BagFQ2 FY 2025,643893,3329,658701,8143,026Ws000002NAA5IAO,,UV Stabilizer (UV-2000) - 25KG Bag,900218,9225,Active
FQ3 FY 2025;Acme Forecast;UV-2000-25KG;Specialty Chemicals,548832,4601,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,533278,7292,UV Stabilizer (UV-2000) - 25KG BagFQ3 FY 2025,343972,8486,898309,3183,026Ws000002NAA6IAO,,UV Stabilizer (UV-2000) - 25KG Bag,695874,3245,Active
FQ4 FY 2025;Acme Forecast;UV-2000-25KG;Specialty Chemicals,657969,6120,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,204345,5155,UV Stabilizer (UV-2000) - 25KG BagFQ4 FY 2025,641495,3824,914801,7347,026Ws000002NAA7IAO,,UV Stabilizer (UV-2000) - 25KG Bag,211362,4868,Active
FQ1 FY 2026;Acme Forecast;UV-2000-25KG;Specialty Chemicals,614613,3792,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,729286,5804,UV Stabilizer (UV-2000) - 25KG BagFQ1 FY 2026,879853,2643,614404,9786,026Ws000002NA8yIAG,,UV Stabilizer (UV-2000) - 25KG Bag,106570,7999,Active
FQ2 FY 2026;Acme Forecast;UV-2000-25KG;Specialty Chemicals,95169,7909,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,869707,4881,UV Stabilizer (UV-2000) - 25KG BagFQ2 FY 2026,88790,8911,600364,5110,026Ws000002NA8zIAG,,UV Stabilizer (UV-2000) - 25KG Bag,392376,9531,Active
FQ3 FY 2026;Acme Forecast;UV-2000-25KG;Specialty Chemicals,789557,9354,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,266212,2013,UV Stabilizer (UV-2000) - 25KG BagFQ3 FY 2026,298241,9410,713275,2813,026Ws000002NA90IAG,,UV Stabilizer (UV-2000) - 25KG Bag,774933,7324,Active
FQ4 FY 2026;Acme Forecast;UV-2000-25KG;Specialty Chemicals,111693,9364,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,915302,7597,UV Stabilizer (UV-2000) - 25KG BagFQ4 FY 2026,140140,2428,671901,5379,026Ws000002NA91IAG,,UV Stabilizer (UV-2000) - 25KG Bag,416624,6333,Active
FQ1 FY 2025;Acme Forecast;CI-3000-200L;Specialty Chemicals,757392,1238,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,886489,1033,Corrosion Inhibitor (CI-3000) - 200L DrumFQ1 FY 2025,935880,2055,75351,3636,026Ws000002NAA4IAO,,Corrosion Inhibitor (CI-3000) - 200L Drum,163725,6067,Active
FQ2 FY 2025;Acme Forecast;CI-3000-200L;Specialty Chemicals,514515,7506,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,998939,3960,Corrosion Inhibitor (CI-3000) - 200L DrumFQ2 FY 2025,303055,2624,314356,2494,026Ws000002NAA5IAO,,Corrosion Inhibitor (CI-3000) - 200L Drum,164373,1336,Active
FQ3 FY 2025;Acme Forecast;CI-3000-200L;Specialty Chemicals,951568,5714,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,231993,6814,Corrosion Inhibitor (CI-3000) - 200L DrumFQ3 FY 2025,26533,6216,372615,2892,026Ws000002NAA6IAO,,Corrosion Inhibitor (CI-3000) - 200L Drum,674069,8846,Active
FQ4 FY 2025;Acme Forecast;CI-3000-200L;Specialty Chemicals,440888,3303,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,720881,4835,Corrosion Inhibitor (CI-3000) - 200L DrumFQ4 FY 2025,960617,8867,549476,7538,026Ws000002NAA7IAO,,Corrosion Inhibitor (CI-3000) - 200L Drum,999515,6031,Active
FQ1 FY 2026;Acme Forecast;CI-3000-200L;Specialty Chemicals,455193,5909,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,201451,4136,Corrosion Inhibitor (CI-3000) - 200L DrumFQ1 FY 2026,658441,9913,434470,2850,026Ws000002NA8yIAG,,Corrosion Inhibitor (CI-3000) - 200L Drum,391431,3214,Active
FQ2 FY 2026;Acme Forecast;CI-3000-200L;Specialty Chemicals,194315,6466,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,347974,6573,Corrosion Inhibitor (CI-3000) - 200L DrumFQ2 FY 2026,267321,1700,202908,2605,026Ws000002NA8zIAG,,Corrosion Inhibitor (CI-3000) - 200L Drum,418182,2864,Active
FQ3 FY 2026;Acme Forecast;CI-3000-200L;Specialty Chemicals,824373,2707,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,847793,8477,Corrosion Inhibitor (CI-3000) - 200L DrumFQ3 FY 2026,277138,1549,842269,4747,026Ws000002NA90IAG,,Corrosion Inhibitor (CI-3000) - 200L Drum,623741,4594,Active
FQ4 FY 2026;Acme Forecast;CI-3000-200L;Specialty Chemicals,873407,8260,Acme,Acme Forecast;CategoryForecastSet;Acme,,Specialty Chemicals,857053,6976,Corrosion Inhibitor (CI-3000) - 200L DrumFQ4 FY 2026,710738,8459,85327,8729,026Ws000002NA91IAG,,Corrosion Inhibitor (CI-3000) - 200L Drum,408558,3145,Active
FQ1 FY 2025;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,574615,4218,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,66997,6002,Acrylic Resin (AR-300) - 200KG DrumFQ1 FY 2025,338931,3940,243681,2188,026Ws000002NAA4IAO,,Acrylic Resin (AR-300) - 200KG Drum,234078,2317,Active
FQ2 FY 2025;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,560755,4127,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,540526,4118,Acrylic Resin (AR-300) - 200KG DrumFQ2 FY 2025,33973,4976,600443,8180,026Ws000002NAA5IAO,,Acrylic Resin (AR-300) - 200KG Drum,678777,7143,Active
FQ3 FY 2025;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,766643,9904,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,364775,8311,Acrylic Resin (AR-300) - 200KG DrumFQ3 FY 2025,219012,8785,615944,4786,026Ws000002NAA6IAO,,Acrylic Resin (AR-300) - 200KG Drum,216166,9217,Active
FQ4 FY 2025;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,587909,3992,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,557353,8113,Acrylic Resin (AR-300) - 200KG DrumFQ4 FY 2025,768205,3083,492712,8923,026Ws000002NAA7IAO,,Acrylic Resin (AR-300) - 200KG Drum,574441,8706,Active
FQ1 FY 2026;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,91445,5812,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,360456,3479,Acrylic Resin (AR-300) - 200KG DrumFQ1 FY 2026,391601,5616,555103,2133,026Ws000002NA8yIAG,,Acrylic Resin (AR-300) - 200KG Drum,309142,4370,Active
FQ2 FY 2026;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,633589,9641,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,426219,1982,Acrylic Resin (AR-300) - 200KG DrumFQ2 FY 2026,611252,9600,760592,9841,026Ws000002NA8zIAG,,Acrylic Resin (AR-300) - 200KG Drum,924592,7535,Active
FQ3 FY 2026;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,945713,8016,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,939392,9255,Acrylic Resin (AR-300) - 200KG DrumFQ3 FY 2026,633458,1240,362695,1464,026Ws000002NA90IAG,,Acrylic Resin (AR-300) - 200KG Drum,949706,6057,Active
FQ4 FY 2026;Acme Forecast;AR-300-200KG-DR;Polymers & Resins,507738,3751,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,127062,5929,Acrylic Resin (AR-300) - 200KG DrumFQ4 FY 2026,754577,4831,264456,6587,026Ws000002NA91IAG,,Acrylic Resin (AR-300) - 200KG Drum,137401,7865,Active
FQ1 FY 2025;Acme Forecast;EPX-500-200KG;Polymers & Resins,677753,3441,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,726151,6982,Epoxy Resin (EPX-500) - 200KG DrumFQ1 FY 2025,391542,5226,346742,2819,026Ws000002NAA4IAO,,Epoxy Resin (EPX-500) - 200KG Drum,514708,6399,Active
FQ2 FY 2025;Acme Forecast;EPX-500-200KG;Polymers & Resins,957739,1329,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,515846,1144,Epoxy Resin (EPX-500) - 200KG DrumFQ2 FY 2025,886089,3815,440869,8000,026Ws000002NAA5IAO,,Epoxy Resin (EPX-500) - 200KG Drum,178054,6864,Active
FQ3 FY 2025;Acme Forecast;EPX-500-200KG;Polymers & Resins,314646,5409,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,424609,1796,Epoxy Resin (EPX-500) - 200KG DrumFQ3 FY 2025,429602,2308,749484,9619,026Ws000002NAA6IAO,,Epoxy Resin (EPX-500) - 200KG Drum,889493,6729,Active
FQ4 FY 2025;Acme Forecast;EPX-500-200KG;Polymers & Resins,555469,7793,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,76192,1900,Epoxy Resin (EPX-500) - 200KG DrumFQ4 FY 2025,655069,2184,681986,1706,026Ws000002NAA7IAO,,Epoxy Resin (EPX-500) - 200KG Drum,461852,4083,Active
FQ1 FY 2026;Acme Forecast;EPX-500-200KG;Polymers & Resins,316846,8025,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,280941,8194,Epoxy Resin (EPX-500) - 200KG DrumFQ1 FY 2026,54973,1121,58068,9605,026Ws000002NA8yIAG,,Epoxy Resin (EPX-500) - 200KG Drum,559956,2378,Active
FQ2 FY 2026;Acme Forecast;EPX-500-200KG;Polymers & Resins,216886,3856,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,222085,5335,Epoxy Resin (EPX-500) - 200KG DrumFQ2 FY 2026,275441,3003,417566,4894,026Ws000002NA8zIAG,,Epoxy Resin (EPX-500) - 200KG Drum,947354,2581,Active
FQ3 FY 2026;Acme Forecast;EPX-500-200KG;Polymers & Resins,33716,5540,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,98541,7983,Epoxy Resin (EPX-500) - 200KG DrumFQ3 FY 2026,998150,6580,128499,6374,026Ws000002NA90IAG,,Epoxy Resin (EPX-500) - 200KG Drum,866478,8565,Active
FQ4 FY 2026;Acme Forecast;EPX-500-200KG;Polymers & Resins,888004,6070,Acme,Acme Forecast;CategoryForecastSet;Acme,,Polymers & Resins,206797,1299,Epoxy Resin (EPX-500) - 200KG DrumFQ4 FY 2026,307976,3810,800848,2236,026Ws000002NA91IAG,,Epoxy Resin (EPX-500) - 200KG Drum,265944,5675,Active
FQ1 FY 2025;Acme Forecast;TOL-100-200L;Industrial Solvents,308931,2976,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,46247,8727,Toluene (TOL-100) - 200L DrumFQ1 FY 2025,194788,7444,748744,5961,026Ws000002NAA4IAO,,Toluene (TOL-100) - 200L Drum,101735,4651,Active
FQ2 FY 2025;Acme Forecast;TOL-100-200L;Industrial Solvents,152519,1140,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,374763,3750,Toluene (TOL-100) - 200L DrumFQ2 FY 2025,135973,8467,733537,7272,026Ws000002NAA5IAO,,Toluene (TOL-100) - 200L Drum,735700,6973,Active
FQ3 FY 2025;Acme Forecast;TOL-100-200L;Industrial Solvents,758373,3080,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,143173,4570,Toluene (TOL-100) - 200L DrumFQ3 FY 2025,238147,5059,889317,5378,026Ws000002NAA6IAO,,Toluene (TOL-100) - 200L Drum,382253,8365,Active
FQ4 FY 2025;Acme Forecast;TOL-100-200L;Industrial Solvents,783767,1519,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,441770,5001,Toluene (TOL-100) - 200L DrumFQ4 FY 2025,784159,6029,291005,7331,026Ws000002NAA7IAO,,Toluene (TOL-100) - 200L Drum,115425,8428,Active
FQ1 FY 2026;Acme Forecast;TOL-100-200L;Industrial Solvents,644575,1489,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,264328,1201,Toluene (TOL-100) - 200L DrumFQ1 FY 2026,563648,1444,463126,6702,026Ws000002NA8yIAG,,Toluene (TOL-100) - 200L Drum,674671,6396,Active
FQ2 FY 2026;Acme Forecast;TOL-100-200L;Industrial Solvents,285098,8769,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,132920,8057,Toluene (TOL-100) - 200L DrumFQ2 FY 2026,320158,7433,309752,8696,026Ws000002NA8zIAG,,Toluene (TOL-100) - 200L Drum,517554,6626,Active
FQ3 FY 2026;Acme Forecast;TOL-100-200L;Industrial Solvents,914152,2158,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,804279,7036,Toluene (TOL-100) - 200L DrumFQ3 FY 2026,534896,4453,749295,5476,026Ws000002NA90IAG,,Toluene (TOL-100) - 200L Drum,155455,2999,Active
FQ4 FY 2026;Acme Forecast;TOL-100-200L;Industrial Solvents,373309,6328,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,42085,1963,Toluene (TOL-100) - 200L DrumFQ4 FY 2026,421832,1231,584936,9361,026Ws000002NA91IAG,,Toluene (TOL-100) - 200L Drum,60917,4426,Active
FQ1 FY 2025;Acme Forecast;ACET-50-200L;Industrial Solvents,630577,2407,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,204000,9170,Acetone (ACET-50) - 200L DrumFQ1 FY 2025,329366,7760,665574,4266,026Ws000002NAA4IAO,,Acetone (ACET-50) - 200L Drum,99692,7200,Active
FQ2 FY 2025;Acme Forecast;ACET-50-200L;Industrial Solvents,765355,5933,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,527371,3808,Acetone (ACET-50) - 200L DrumFQ2 FY 2025,823217,6343,897873,5562,026Ws000002NAA5IAO,,Acetone (ACET-50) - 200L Drum,382665,1245,Active
FQ3 FY 2025;Acme Forecast;ACET-50-200L;Industrial Solvents,840517,3714,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,425116,9711,Acetone (ACET-50) - 200L DrumFQ3 FY 2025,53606,3365,592176,6283,026Ws000002NAA6IAO,,Acetone (ACET-50) - 200L Drum,37017,9510,Active
FQ4 FY 2025;Acme Forecast;ACET-50-200L;Industrial Solvents,272582,6623,Acme,Acme Forecast;CategoryForecastSet;Acme,,Industrial Solvents,347330,5373,Acetone (ACET-50) - 200L DrumFQ4 FY 2025,734793,9788,89494,7561,026Ws000002NAA7IAO,,Acetone (ACET-50) - 200L Drum,315684,4794,Active
