Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
,IBC Seismic Certification,IBC Seismic Certification,false,IBC Seismic Certification,seismicCertification,10,Active,IBC Seismic Certification
,Install-OutsideUS,Install-OutsideUS,false,Install-OutsideUS,applicationEmissionCertification,20,Active,Install-OutsideUS
,Install-US-Stat,Install-US-Stat,false,Install-US-Stat,applicationEmissionCertification,10,Active,Install-US-Stat
,Language_Chinese(Mandarin),Chinese (Mandarin),false,Chinese (Mandarin),Languages,1,Active,Chinese (Mandarin)
,Language_Danish,Danish,false,Danish,Languages,2,Active,Danish
,Language_Dutch,Dutch,false,Dutch,Languages,3,Active,Dutch
,Language_English,English,true,English,Languages,4,Active,English
,Language_Finnish,Finnish,false,Finnish,Languages,5,Active,Finnish
,Language_French,French,false,French,Languages,6,Active,French
,Language_German,German,false,German,Languages,7,Active,German
,Language_Greek,Greek,false,Greek,Languages,8,Active,Greek
,Language_Italian,Italian,false,Italian,Languages,9,Active,Italian
,Language_Norwegian,Norwegian,false,Norwegian,Languages,10,Active,Norwegian
,Language_Portuguese,Portuguese,false,Portuguese,Languages,11,Active,Portuguese
,Language_Russian,Russian,false,Russian,Languages,12,Active,Russian
,Language_Spanish,Spanish,false,Spanish,Languages,13,Active,Spanish
,Liquid-Cooled,Liquid-Cooled,false,Liquid-Cooled,Cooling Method,2,Active,Liquid-Cooled
,Listing-UL 2200,Listing-UL 2200,false,Listing-UL 2200,standardsAndCompliance,20,Active,Listing-UL 2200
,Methanol,Methanol,false,Methanol,Fuel Type,2,Active,Methanol
,Motor Starting,Motor Starting,false,Motor Starting,SpecialApplication,20,Active,Motor Starting
,NaturalGas,Natural Gas,false,Natural Gas,Fuel Type,3,Active,Natural Gas
,None - Standard,None - Standard,true,None - Standard,SpecialApplication,10,Active,None - Standard
,One-Speed,One-Speed,true,One-Speed,Transmission,10,Active,One-Speed
,OSHPD Seismic Certification,OSHPD Seismic Certification,false,OSHPD Seismic Certification,seismicCertification,20,Active,OSHPD Seismic Certification
,Prime Power (PRP),Prime Power (PRP),false,Prime Power (PRP),DutyRating,20,Active,Prime Power (PRP)
,Two-Speed,Two-Speed,false,Two-Speed,Transmission,20,Active,Two-Speed
,UL2200,UL2200,false,UL2200,gc_certificate,2,Active,UL2200
